RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31
46666,272,Myrtle Beach,city,SC,SC,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,161325.86620462083,161269.79543777654,161445.65098638184,161080.3965302012,161058.5779373703,160571.86020078018,160863.4674318464,160997.2371419416,161508.37697544778,161959.6207165618,162341.99401079767,162627.9266318976,162909.83038778967,163334.8976971445,164111.97126154057,164890.12217876813,165633.06714748533,166010.4942495136,166331.20356952315,166468.4365548823,166722.27948464119,167148.92113739898,167881.8195407349,168768.2814281434,169504.03376169456,170171.21275917513,170931.52941939334,172038.77777188577,173477.3879611843,175177.50574647053,177151.18435958124,179133.61169874892,180997.13388875578,182467.9293848873,184168.13577387258,186093.4962979008,188336.5797343585,190663.3183047344,193555.8482600345,196513.55205067675,200091.24597442022,203553.42138756506,207202.5324963644,211042.5761958966,215692.77556968445,221064.92207837562,226668.1469649494,232516.3190217117,238221.82926783894,243944.38493399238,248540.61199445534,253860.48692404266,259578.59523522737,265210.61250412214,270701.87839481933,274873.0362090198,279135.2598754423,281664.1872761303,283495.3195328615,284740.59740742476,284712.68739026255,283740.0049433809,282259.7002345019,280980.3404037509,279857.83056649956,278460.8517331562,277436.1063159916,276321.46301599423,274653.3845582682,273057.232151492,271111.44399077323,268495.4073949393,265820.6869931169,263426.4137945971,262304.2956277229,260605.1236808511,258028.44669125733,254875.8698624236,251682.75237547097,249166.1979819135,246541.30910914097,243878.20421325407,241148.5413841741,236983.05953109104,231734.46937175083,226127.87650532904,221207.42902705763,216748.08478832626,212572.9799759374,208729.6135461894,204898.3058526346,200804.48302476053,197172.84928076915,194196.00596635867,191333.4710160533,188055.5665552275,185360.733184338,184042.75136621064,183790.40633492588,183440.8071647226,182236.00301226214,181014.4241655618,179892.11967885238,178718.40349661582,177016.46833026607,175255.60441034663,172844.85579730428,170887.2102173329,169282.11976243687,167612.5688027762,165461.6564833611,162698.3261383217,161447.60692135102,160597.6576580734,159881.20451650792,158837.2795263453,158236.84174828374,158063.77078796565,158314.72128200534,158516.77172794545,158392.9906770578,158462.99984725704,158576.8737333522,159667.40666635238,160584.36940863618,161923.63386197333,163159.01391594333,164459.45486542006,165406.0668063105,165983.58794698093,166373.9462393912,166717.62749032315,167067.17276754335,167380.16966776873,167651.18183808215,168218.61540610882,168919.89516243344,169688.162788706,170338.55221731853,171034.60731556907,171728.9792597375,172652.87332213332,173772.3263604114,175228.01347033493,176125.7218269743,176853.76830893438,177237.666749542,177990.305295951,178577.49794010224,179116.78998118438,179278.67174514776,179346.66945597748,179666.25524561587,180058.23219740845,180795.9849527762,181236.4246851396,181889.55216013177,182036.07888180538,181889.45753774702,181482.02848371546,181030.2346392542,180857.22881653873,181010.9102052356,181449.23785108468,181929.06052376784,182514.29305632404,183085.38420167426,184061.30015483298,184808.80070776155,185673.6345270405,186317.80216348227,186970.73416923147,187184.4350005733,187367.82913696393,187363.43632201917,187779.95281010307,187992.41528360662,188273.37552530327,188569.97048168976,189235.05015463792,190329.6181179744,191210.2969307487,191876.71038284243,192403.01019477457,193162.39825444482,194204.71342208935,195079.8386945076,196168.82262550853,197133.53184732838,198078.7631992694,198850.27862644612,199709.6464372758,200705.22199133286,201361.70732830418,201758.01675346913,202288.14994444567,203209.8393751093,204215.87446523938,204984.40543525957,205519.06983931674,206247.9587325711,207250.90586746615,208584.8992442387,209985.80803113733,211303.8731915652,212446.05124060836,213641.84447899496,214691.736664369,215612.03770434312,215957.4908788406,216434.89885490268,216834.15658857673,217223.01416026696,217452.57629558851,217843.34707336678,218653.52069663547,219941.63801648634,220830.71744520465,221483.71781900479,221282.26421997751,221376.57512430233,221559.721329643,221966.8235255735,222374.50450688784,223087.68838109451,224424.4346036849,226619.17134655218,229331.6643146594,232215.3262657118,234889.8551872437,237014.78939126708,239155.44971518512,241317.7761623553,244229.4568529914,248060.99129926073,253228.51061693663,258859.29131922126,264271.152415593,269312.46393149975,274383.3276862272,279758.35899529763,284988.82969442825,290781.049415254,296622.2369008745,303350.0974249679,310735.0036527179,319048.2412938429,327476.0665749375,334082.42969090585,338025.52666381036,339018.0042232492,339049.1156383206,338752.19958716276,338366.04608187027,337058.6803477533,335579.15403120324,334183.7349159624,333904.7537970287,334610.4948930442,336364.08190502593,337948.01367145876,339127.4299781868,339690.88706593326,339997.8372951269,339937.47293813963,339884.11895599734,339969.1873345983,340261.9430485083,340766.3577083997,341299.2127567776,341401.6992204525,340546.4234757388,339257.0071341632,338119.8637591926,337179.5533275997,336074.0764308634,334626.0950388457,333479.7584259151,332801.9843100037,332430.43269548233,331467.34629394364,329960.92205355986,327960.9406633114,326098.52364081563,324613.2739139809,323714.4635189201,323272.68750841543,322924.11013763305,322701.61908070167,322683.0434045301,323072.5215298661,323697.52631433494,324342.0614598686,324590.29370784806,324520.2036798478,324415.8874441371,324531.9145849748
31023,676,Conway,city,SC,SC,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108886.79423082083,108913.06966477797,108767.29261689215,108600.20821740675,108431.71675330128,108354.18419090474,108544.43237617535,108902.8560319917,109362.9131843924,109566.18783403501,109646.50014855922,109689.26238612743,109836.72537891577,109749.34044950524,109842.16021223481,109934.48863511381,110606.28764745938,111437.14679208724,112406.01930174431,113094.42343402763,113752.32785933028,114481.23136010685,115233.74851192701,115926.5030477302,116676.01619575244,117713.90660376057,118846.60830411136,120094.32343806792,121350.35841001016,122392.722532106,123368.21645599116,124393.00753543367,125932.80214601143,127507.29979726701,129341.18454037937,130970.20394541671,132429.90198224713,133742.97823607188,135201.87166719796,136944.08584566935,138645.1089634318,140526.7020423946,142499.49065324318,144632.46441465607,146345.76010752298,148346.0759413511,150369.21894408157,152412.5067853378,154542.53654789203,156401.17928441236,158460.43810752558,159967.1283717197,161410.06354554495,162984.1175190511,163689.99163238553,163961.64928787012,163657.44242759762,163651.3858719122,164053.82547836084,164460.79988479117,165303.7027681192,165947.1566362466,166413.349960295,166998.21760752567,167237.2618916457,167089.20329889643,166571.84261083344,166029.5792774275,165943.21020411063,165724.87670340564,164875.12647929112,163897.7216945639,163068.22451001094,162870.1589781303,162307.72802613568,160848.25088288295,158800.32030363692,155893.10121117163,153182.75288781984,150992.88039729418,149512.64295112016,147878.1891019452,145779.67491790839,143740.24877971076,141882.6389591396,140495.35314312312,139432.3491180432,138447.550903068,137508.40188821297,136404.92614886875,135846.21387363845,135328.3477503172,135174.80914165944,134548.5745224012,133899.43538153605,133070.36032750542,132405.29044580413,131436.00374718604,130347.04655148553,129170.47777506289,127597.52834035574,126047.37622553243,124963.24495395417,124139.61868545234,123212.33734503825,121826.98001762776,120828.8863976072,119864.68589700374,118756.1626709075,117910.59609975015,117237.65953123428,117049.02440715079,116785.42733186904,116694.11953213932,116330.41349674428,,,123971.1206121671,125704.57692067488,126485.96104995663,126880.39600622683,127178.13596156759,127493.22347587063,127853.28698714981,128188.7157574178,128559.74568460375,128911.30875162974,129124.86899462058,129087.96556523781,128918.2817954204,128752.24600183273,129256.99785893282,130292.92367105768,131840.5735903643,132945.0734432541,133890.0166328392,134783.2444430727,136118.88006223997,137313.02431676033,138193.68916081925,138563.70582770152,139126.86195238083,139782.8997597495,140612.3441443752,141388.55335755972,142249.6674005687,143204.54239560172,144018.0129599086,144709.10127393526,145165.5568851394,145653.83414492616,145757.7737340887,145662.87518984926,145576.9179248811,146094.79081387797,146902.01139002258,147828.09177276425,148740.40345671106,149556.5486714983,150329.84814921572,151105.44685063406,152138.57051345645,153090.1058796418,153746.36212219365,154273.9614149819,154853.8244073044,155438.36739843988,156001.2003035452,156268.30856944018,156476.84633973413,156496.8251170036,156657.2849133218,157110.08129848976,157990.30282055415,159025.41383878692,159727.69597529244,159963.97587080215,160051.83565978965,160489.1485485113,161277.14813397833,161941.22413061577,162392.7478999747,162734.9367936158,163541.08874935744,164685.58252124558,165898.7314519983,166962.23469017932,167722.15704286916,168344.65053223862,169058.0017129208,169994.2131343048,170875.14576143792,171541.55878431976,172001.5633904518,172647.62719607583,173653.402805106,174908.31100858713,176037.07355827594,176859.11832382236,177306.4027243529,177638.5556095581,178110.83698437223,178667.6766784376,179215.1181730045,179712.12875051275,180346.14489440806,181178.21375388338,181889.63830382517,182497.87694306462,183253.37251173882,184419.2657175994,185595.63169152196,186497.86479046568,186958.41245524996,187486.85282284475,187990.67589748467,188306.25400475765,188767.4272933408,189979.16846691802,192076.05608201248,194752.48686310858,197588.73246813592,200563.74926635844,203463.601652649,205920.0348536271,208169.5914753056,210518.761663961,213311.70773902079,217014.56839496468,221680.29935007953,226803.11916518296,231517.6694142232,235782.03378269906,240015.29829920238,244499.59758523386,248798.48945786283,253763.371517606,259379.48547100218,265934.7368952619,272695.7896240573,279300.94374078425,285798.62534839445,290739.0199634068,293576.6774644845,293989.89956575655,293857.3566497564,293524.5412723368,292795.67237249465,290856.6563502808,288950.3097515846,287416.9480550457,287333.8148279973,287976.256653274,289601.3329464854,290752.29328210047,291458.50484659657,291629.7260913979,291986.8080480493,292531.32776754553,293048.25435310375,293470.8077243646,293932.4272964532,294598.7609547568,295453.23518716305,296073.150181862,296210.7410168426,296116.4600295391,295989.7441396726,295785.3111896275,295350.41324088216,294775.5038535211,294688.90387720015,294884.45144455374,294872.388622568,294187.7415401212,293165.1053379189,292145.46247718146,291070.60357,290069.24576426955,288982.1469460826,288405.82432173117,288085.4698130298,288375.5952203558,288926.4170646147,289651.18216370494,290338.703282507,290719.1727297759,290690.164731737,290436.5573374642,289982.7290382736,289610.40395682596
49509,1897,Murrells Inlet,city,SC,SC,Georgetown, SC,Georgetown County,,,,,,,,,,,,,,,,,,,,,,,,,,,,156532.4155130186,156846.75771791348,157152.00719637715,157784.24285675923,158187.10862106984,158594.0846335081,158976.60817352214,159490.68552234615,160064.68971451334,160620.66458297774,161352.0184766759,162020.97188046688,162541.98805018354,162965.23929442267,163379.18178564336,163955.06857579527,164558.08578581968,165173.48553123462,165858.3520392989,166422.08136120564,166981.63552255565,167333.50062522557,168078.55299708154,169046.0865438153,170564.61389682148,172204.69024810055,173904.09976444696,175672.71701958473,177176.65383065972,179072.31421343356,180793.13173225775,183165.17127209445,185241.16916606002,187416.81511849785,189278.96135482498,191761.73568055546,194556.8825756408,197317.82246967047,199904.48176953197,203029.65713845458,206675.73694610558,211001.6680407905,215463.50345543,219873.6419232965,223940.66056633496,227159.7860794604,231191.0450703014,235386.98474867866,239911.0993043956,243576.13772068894,247009.91043055858,250615.52060629244,253411.20720941326,255781.71948263215,257978.19618346987,259343.11541671248,259811.88156980215,259592.73141145156,259775.13356085223,260292.9319276533,260748.5198125666,261442.7800730891,261812.57464632916,261425.90836818676,260805.02489220956,259554.60954360603,258407.706715624,257193.85299692486,256757.36284462863,256898.9921976364,256758.45738283804,255012.7953346964,252940.60367551818,250785.6856387692,249599.1846056671,247941.8693786095,246295.8664415055,244436.40206077383,241490.75136752392,237917.74177009915,234424.97383398897,231599.61788663082,228921.39784727187,226178.67732489784,223612.5485067727,221368.1623325604,219084.3154462816,216620.51356701087,214232.3126771349,211458.10761527056,208718.08476214192,206446.09842596497,204995.12798472526,204438.8584097505,203609.41397691538,202653.41814462192,201673.11632121916,200930.6279432197,200286.71513955845,199334.62770976513,197904.5442255929,195736.4097723787,193468.58147970223,191993.9886589759,190753.90046819954,189751.29007221933,188031.6208997829,186128.18351043257,184104.96942150805,182352.42753367728,181286.5858728947,180622.87833802783,180510.94257579316,180878.85105373376,181564.25689915405,181660.80623247637,182745.84721286278,184268.15605743043,186414.57355171154,187349.76361283113,187656.38463986173,188106.93391630764,188738.8399346502,189327.1436643689,189955.96294185388,190653.272861197,191238.9784674528,191345.95177943574,191113.29995362353,190914.33133616042,191333.0463123355,192335.62694981555,193809.81735840612,195109.32853192787,196178.3080099403,196753.6256055329,197503.7482652309,198505.61879502796,199789.32623244682,200753.82861783062,201138.38397787782,201068.06694364335,201211.52112635123,201983.90782755904,203034.40123111024,203904.90294515665,204465.7238163999,205150.67112800406,205890.69536973187,206753.5413400327,207499.96579958242,208252.8608482808,208883.90837306643,209277.9892203035,209594.1115852473,210081.0524607354,210704.99446333674,211690.32117312428,212661.99310206642,213867.45499511002,214915.10246505158,215994.5578276152,217132.04236972335,218218.53616642044,219032.24761816903,219639.28089141854,220284.72475869302,221092.2103187381,221944.07690595023,222282.36398734953,222429.85745754334,222459.58534681905,222725.41524021878,223363.01069715174,224555.28423477034,225801.86669892303,226630.18515635325,226554.88028702998,226384.0156827952,226525.4554466923,227204.89853437408,227947.47719705585,228841.65100526667,229861.93584450544,231239.02266194462,232606.472334798,233982.18473098913,235403.8245649947,236633.81222664964,237829.3704875972,239011.67267845463,240449.78496124307,241807.2820946394,242857.16632796603,243487.92259268273,244193.0023592511,245176.59528949604,246312.8226280083,247329.4668436274,248158.02494893214,248689.26063363798,249240.26445432333,249889.4110135069,251084.29521409547,252167.94276292346,252997.44171384713,253637.741381514,254299.6097950151,255001.0828245161,255677.12227622527,256585.52082454044,257973.91319065032,259214.93563600397,260185.7635758072,260461.0056995397,260833.22257088692,261232.879115268,261694.03338078246,262471.5401689866,263920.6155347356,266155.35813451785,268929.95631144015,272092.3964318232,275665.77737347945,279238.36378943437,282386.949406687,285342.12636410736,288241.20118306397,291730.9671260952,296264.4454302298,302049.4826421137,308383.0752390655,314487.6084942128,320244.08388022095,326095.32582520234,332240.9308685426,338288.27719754877,344945.81661330094,351476.3740532219,358643.61692318995,366256.77972626936,374650.0266413086,382848.00684474315,388669.3634904761,391883.1640179635,392536.0388367549,393028.10419210984,393046.66777784866,393246.18187313527,392599.57058923366,392464.47138661187,392164.19178106217,392805.1853764299,394020.47639394755,396305.90389751113,398526.05133677647,400425.0845719492,401796.4909770296,402697.6551398582,403025.29928713356,403372.8752009853,403684.81979046593,404492.5130208444,405617.22812545305,407015.3958436652,408339.0129922254,408709.65127097984,408536.50309302774,408155.21973392327,407997.0132351595,407970.191539935,407277.895256985,406642.2391878572,406124.84516842494,405847.4543454314,405198.18710697815,404389.79584753636,403233.75097686937,401938.83873706654,400667.1600557398,399805.4435904825,399489.07175159216,399280.074972467,399115.596768354,398711.8413714745,398358.9239688515,398258.3575316511,398776.4147492701,399460.7020511346,400192.6108646432,400769.96763741394,401331.78980166366
5657,2919,Little River,city,SC,SC,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,136286.54571668184,135913.83462955337,136056.54480546806,136308.0925053351,136989.6890225302,137589.14465463912,138208.97119187468,138825.26541575688,139355.24940676353,139831.67622384187,140173.1008663267,140446.18746012432,140585.06525813544,140857.09473823267,141276.4857821433,141750.70844541484,142085.71264599872,142385.73522384686,142618.02348123628,143043.86034697326,143536.25294843383,144174.59762143897,144754.62923765907,145447.84047033382,146159.43037236054,146991.11498535107,148196.4138932204,149735.62174356333,151495.19387767537,152727.62984571312,154031.75665217414,155316.9327414123,156924.5016000292,158304.45577466115,159897.7642751305,161391.3066258193,163234.2063628911,165266.62430951555,167461.23650541462,169703.3676935909,172329.94545394034,175639.54540189006,179359.1103897877,183165.22326859392,186698.1680164703,190356.65610758113,193160.26378449137,196463.40755717424,199944.32794434627,203456.85004823338,207054.70606288643,209743.88252982395,212903.41949908636,215089.25950967564,217343.36823224378,219160.35555652785,220060.06243420872,220073.89639595806,219559.93254537144,219127.01740603207,218628.80748265106,218201.11869928893,218160.7774754304,218450.4495920755,218180.9343122053,217904.66157858958,217076.36346320776,215516.16842662808,213523.511808755,211505.82499020977,210518.8198495095,209043.50516531293,207122.94089227112,204880.71501852557,203430.03689320522,202520.88763754256,201595.93336453708,199635.38047645698,197245.20980972485,193642.96427841522,189891.77651931797,186662.8342207787,184217.37809440342,182028.23337081293,179612.9360567315,177729.54060317183,175650.8169585648,173582.0449892449,171686.80427248753,170472.70441794465,169399.24085953666,167706.3010582577,166655.2890444838,166516.63862801492,167179.73054026507,167333.81518194915,166431.36551933712,165267.8304134682,163828.09177643052,162549.25717677746,160985.00126518647,159592.10901358805,157586.3070813856,156040.75742513905,155122.5816321868,154051.76246901168,152804.44221904126,151094.60854344524,151164.7858705239,151371.46824495067,151617.08603083872,151229.77922187388,150974.69738505824,151088.47103996854,151361.600508941,151455.6516044333,150890.80814034713,151270.97763803756,152463.23742597076,154619.33103062317,155862.8930365614,156783.31658446466,157363.86478143823,157675.40894997725,157789.76642648887,158051.29368160982,158705.25336220954,159310.21013405835,159838.41199892384,159949.84098241548,159820.58398094072,159765.14902159426,159883.71986009154,160337.23004025055,161001.3507521692,161946.01749908796,162812.85569503924,163360.97840583007,163932.49966835167,165015.04786954258,166133.66900154648,167137.86483371726,167580.66739650007,168112.31800561785,168621.45624538217,169044.5559815901,169300.25011149485,169531.93800472803,170150.72472076459,170797.24843381115,171521.95965988043,172143.79606453923,172935.28409306207,173296.56745533078,173321.86738596324,173400.6923498891,173717.00315556643,174081.10506448473,174387.874010507,174719.5587552702,175397.87496520556,176186.39281378454,177200.77136569345,178316.7637858997,179147.58179380372,179681.7694014247,180126.35108346737,180850.48818791928,181616.71573356216,182396.7211492303,182956.12417379263,183567.08387021362,183820.31097920903,183964.3912841284,184429.96909278052,185570.51665864768,186973.39912997503,187968.4790255548,188382.79527070405,188451.59578797594,188507.1848838888,188884.54814594457,189375.37109220074,190066.86680285924,190667.14480944458,191580.4329817259,192643.76187756946,193750.45282917048,194784.35574776828,195551.1611350994,196434.36011827912,197463.01276151172,198760.32764277907,199859.67463617632,200633.43226977473,201156.42268047048,201808.56798495213,202723.19137072455,203852.33486255445,204996.05842728328,205983.05074856294,206618.20748815997,207159.98874400498,207914.15969002945,208785.4173080373,209490.15232709493,210129.74453327488,211022.2504691812,211829.9473730351,212311.25956965107,212544.8481566308,213058.6751162334,214309.50930232494,215393.84520830287,216322.40441308016,216404.10044804736,216715.98868544618,217142.71677445565,217683.54066584934,218767.61062367776,220462.53969300722,222985.22445069405,225742.89112812898,228689.39101938935,231775.29399492414,234770.78103201624,237492.77389940244,240180.55486620942,242926.66929515134,246245.9633356918,250580.18931014484,256401.9767525127,262860.2868763104,269309.2917138483,275320.33724262094,281280.5599693909,287038.73733597045,292437.91437635716,297924.81993805623,303382.2461043624,309273.78008944495,315644.5644223955,322389.7621329185,329206.61165466654,334294.682605899,337280.4049153419,338008.5584908836,338231.9265732134,338254.52578540717,338296.81157466565,337605.01438909146,337078.54944948485,336602.93448769563,336934.9798867431,337969.54167738295,339863.4087824395,341324.6685373383,342223.1614080144,342295.5936156088,342472.69997958443,342472.4352965893,342574.2418927829,342653.023586944,342879.4800693818,343199.46141102246,343570.8930547707,343489.4154295866,342859.61265355925,341777.43943996815,340791.7166931853,339818.8860342135,338632.5750503096,337055.45080686815,335519.3355653704,334343.98759076284,333381.86632967513,332129.4011308584,330637.51752911793,329118.8758616719,327653.6250307709,326536.1790588877,325567.1451502159,325164.7897962266,324983.11299813323,325176.0148287096,325472.5748325879,325678.52473415685,325631.2951530544,325456.99611341424,325036.1029579858,324703.9741919664,324356.98191225977,324411.70434721786
