RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31
70576,768,29588,zip,SC,SC,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558.9165150386307,1542.174146279635,1562.2700794730497,1501.6221835348488,1535.3927114904404,1535.8322638535521,1626.1402196992328,1644.8208238503091,1638.8027592783192,1605.2803922554097,1583.6405335261031,1604.02050694467,1619.9623835127763,1646.0993214797845,1645.5309714524672,1654.8736423559326,1636.4668212551687,1658.1667177934428,1677.2707905945904,1688.4000590378246,1678.0456662392496,1670.029260344704,1646.9980843143578,1643.3477819055363,1632.2046781077415,1655.3442890486783,1659.7462295324349,1663.6876048586323,1667.6363940266485,1709.9853558586867,1721.4113422634973,1721.2194528537284,1645.698528073322,1647.7751739922614,1645.4884228937483,1676.2161838140946,1674.6022416675949,1684.0757817445653,1682.7829063887832,1684.58222704869,1682.2490942028987
70532,933,29526,zip,SC,SC,Conway,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1759.5355007220874,1764.8773628659603,1762.9763628922733,1761.808001853392,1777.7240309309325,1778.6433189300756,1800.275723668918,1794.6404329211055,1781.835191000663,1787.4834340653865,1802.6935572051418,1827.077617265027,1837.6920253978274,1831.8850137066115,1782.0480984559167,1777.7644499267078,1778.420794704424,1828.1748625482812,1829.4746169304572,1823.9530796447682,1852.176677960404,1853.5783942785151,1883.2709287117764,1852.2322367841516,1862.0912936954926,1847.3645586307819,1840.2686595014832,1826.0446768468212,1838.5743314510125,1840.7362156140325,1849.9213639629868,1845.5111407481604,1875.7699419524033,1892.0833333333333
70568,1568,29579,zip,SC,SC,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,1019.4613084938751,1005.7491164133424,1005.7580317714587,1012.9031004200613,1016.0186036850938,1028.0940465335038,1019.0619712334404,1053.198242946093,1058.5690059705028,1078.001571482401,1067.578572234379,1064.4424560764007,1068.1501900757314,1063.7644760585042,1068.6938127338321,1072.744359847076,1068.909926572318,1057.1059546348547,1062.3572672916628,1099.622816426252,1121.6466822576895,1126.7316274708003,1106.468702911627,1109.8964955665406,1112.9355042433983,1117.0778337872448,1121.5625551890494,1126.327588954656,1138.9555109904256,1138.7075780690893,1151.5412320735993,1160.7257333836399,1173.876865263855,1152.9216112963725,1149.1238891725616,1138.9358401378001,1172.041507090067,1163.6341312212226,1168.7028218125386,1158.4021844348893,1176.8862190471875,1178.4814762061358,1202.9017729549341,1206.4447533040088,1233.1190515225378,1232.3782776412224,1220.0440088963473,1217.0995686060103,1213.9233338512881,1232.1416839414778,1231.050050266673,1229.5880962254319,1227.0852116472802,1217.0369251056604,1209.4932024607426,1228.2637914764962,1235.4195847765366,1256.5698146089344,1256.565858404769,1264.6593412212324,1287.576617296459,1283.6396128753531,1293.2221516047744,1275.1136239819386,1303.7142323281164,1321.6115719199584,1361.8500882651085,1391.9594049961427,1453.730105997664,1496.8297600042617,1534.8441414818296,1562.4263864229927,1580.3314114578288,1602.025183351075,1590.76762691145,1591.4335607180844,1603.9957099707376,1655.8781626734383,1694.80362375739,1711.0700464631761,1705.7599790981121,1733.811721373694,1736.8949481702368,1743.201391278727,1741.8362329255212,1740.1998610949918,1737.2855741009018,1725.6684743706894,1726.2009502697326,1728.8402800194172,1723.4636913739967,1731.8719442218653,1741.028763326526,1744.3587552992483,1740.2273070413958,1720.4989448391484,1708.1580245581695,1705.5779352091606,1720.3840316142125,1729.3542547609884,1739.848438357862,1742.7599881306282,1747.7391367840255,1751.9114676887061,1747.419276542967,1758.731878892167,1762.9125569572413,1772.6893901245758,1758.5441541553853,1739.5592685762267,1735.76012691855,1744.6353212427773,1756.9464964211406,1750.4496537657358,1740.689294590212,1742.8756840596511,1747.0666319385537,1740.5028448425392,1749.232620007291,1744.974173231311,1748.967836476677,1722.0310746892885,1715.9613313455925,1715.614938450493,1725.717048418442,1723.4468952179955,1725.6160335112652,1727.584396661951,1735.6222879566787
70566,2780,29577,zip,SC,SC,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.152103316827,1536.3004374607713,1569.4054234839546,1565.325603062325,1494.4397055141314,1483.0728851474971,1476.556368701051,1479.836303620495,1487.2886606420604,1515.1039994830662,1565.367371637397,1571.6916819806308,1596.5231449191572,1601.6739080707919,1612.5510847056694,1579.043588165701,1563.8970875488678,1555.4954005833954,1558.1991732597548,1566.2207264876151,1568.4168175366417,1580.5829913443679,1602.6361587714428,1625.4348622059895,1632.204085770721,1634.5622338990213,1632.2103521937292,1640.769492919761,1614.642432202139,1623.824860913162,1624.2699218936634,1644.7291001261785,1644.2366331170133,1651.7912443390392,1647.9547668744963,1656.880284014804,1654.831612200677,1653.6925988931646,1652.6996994206925,1640.8189489999663,1668.4282718341306,1665.2031603680468,1680.6281345087725,1650.4859002347132,1634.3064981552814,1625.207054165199,1637.4327892938475,1648.5401795135422,1679.9573412698412
70565,3036,29576,zip,SC,SC,Murrells Inlet,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840.5536624075414,1847.1891531266908,1840.0986071741754,1820.7765456835893,1811.9789159248726,1830.8602758364211,1882.1709795388836,1901.181450137135,1910.6392393976232,1884.1852999319026,1878.319558046757,1854.372650552101,1841.4635847698728,1850.9761355407063,1865.148105940901,1891.463851920508,1887.5525098810915,1911.4563892204735,1918.2000552887887,1949.7612516159106,1924.0628164333982,1942.5946958730808,1943.8931848845166,1923.6315230278701,1900.7612416206384,1881.574095627555,1947.2449868958681,1988.4049340485208,2018.856988709567,1994.7410198388413,1942.8083333333334
70555,5839,29566,zip,SC,SC,Little River,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503.2913506970367,1542.7203496166583,1530.5376424118485,1528.517253533447,1494.9404767287654,1504.575383806455,1508.8785951902973,1550.8774737113458,1517.2265431116125,1504.625631904315,1485.5441953675856,1520.1635779879593,1522.8360332026282,1541.568894049407,1539.7000326056784,1561.3408470457234,1559.9200907670693,1561.8593617059882,1548.1393548625122,1551.713696636714,1528.0677229878395,1515.299410544766,1501.4568641876033,1498.655185802245,1498.343084842981,1498.30491541744,1539.1100245958446,1548.1472346024862,1534.41891646055,1501.8076923076924
70564,6664,29575,zip,SC,SC,Surfside Beach,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544.0002526345374,,1549.9080800908162,1559.2103056096375,1569.0885342765673,1558.6226111792244,1565.4034779634978,1578.3632517564254,1579.4209093876716,1567.58316950367,1551.978259413893,1546.4336475946295,1561.6224942426027,1577.6573967821162,1593.919672872257,1584.8641056471906,1585.1282830967082,1580.4488266512424,1566.1810116983722,1560.8963505129484,1567.799896060309,1578.0277203976966,1530.0225225959523,1548.9388881595967,1569.299812500997,1638.201811110667,1627.8968017292684,1630.3799586440257,1610.9631072048855,1610.4753227009187,1606.5055555555555
70571,6723,29582,zip,SC,SC,North Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447.9198707396608,1445.8947760023625,1441.0103139612365,1418.3860282803635,1399.536551492258,1390.0382058759433,1374.8479945599015,1348.6596075631855,1363.5325474095498,1392.3380328214068,1454.4639754476736,1473.9001005559014,1476.7123797746572,1492.6459825451639,1494.1381618020232,1488.39793493427,1431.9427203215698,1382.9824457539155,1366.3226725034347,1436.0245085053573,1474.1232713757006,1667.5631787008933,1651.726032895702,1739.8853331626865,1627.1962962962964
70574,7453,29585,zip,SC,SC,Pawleys Island,Georgetown, SC,Georgetown County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926.0
70557,8406,29568,zip,SC,SC,Longs,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772.4029105490165,1728.137638716561,1754.7197125096666,1807.3180364418756,1850.5046959213225,1839.4927181230196,1813.0154138343537,1833.890095370154,1816.1166918842077,1832.4997885256935,1842.323639255094,1851.8230768069125,1821.3676554260758,1835.4111111111113
70561,9586,29572,zip,SC,SC,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach, SC-NC,Horry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.5443730549641,1607.6929857688722,1594.0669001271312,1581.1369381448098,1573.4403372841718,1557.7922074844605,1505.126658350551,1490.3486959117408,1503.9482420970014,1536.1081560797918,1546.7198410774886,1526.5555871512674,1537.027807704753,1529.3748953133609,1550.288813523079,1539.5012141903753,1548.9623944461978,1542.6879129100573,1538.6824987716543,1514.8931214825432,1466.821028445592,1467.7835891366399,1480.9934826042117,1514.3710800275812,1516.426607734616,1516.3450725262232,1528.6827190006234,1533.9647746574924,1531.5966732083307,1534.4637116485962,1520.6007946436337,1509.0613812163735,1480.5553526995539,1469.958444629341,1501.31044565035,1514.5488100782331,1530.4707921713496,1536.413095600601,1586.4718988865027,1595.4428571428573
